Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,Title Characters,SEO Description,CONTENT (product.metafields.custom.content),GSM (product.metafields.custom.gsm),Description Characters,KNIT STYLE (product.metafields.custom.knit_style),OUNCE (product.metafields.custom.ounce),SHADE (product.metafields.custom.shade),Sustainable Blends (product.metafields.custom.sustainable_blends),FABRIC (product.metafields.custom.type),USAGE (product.metafields.custom.usage),WIDTH (product.metafields.custom.width),Folder (product.metafields.custom.folder),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Suitable for material type (product.metafields.shopify.suitable-for-material-type),Suitable space (product.metafields.shopify.suitable-space),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
polyester-cotton-honeycomb-pique-stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1ie_9e8qQxXufhslL-5uYU5bIv-JnxYvd,3,Polyester Cotton Honeycomb Pique Stripe,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-jacquard-stripe,Polyester Cotton Jacquard Stripe,"<p><span>A medium-weight (309 GSM) 60% cotton 40% polyester french terry fabric by Texongo, featuring an engineered jacquard texture. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH5257,1000,shopify,19,continue,manual,1299,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1B8IVkGqiDoLVP6IvmMvPVRR6XxtY8k4j,1,Polyester Cotton Jacquard Stripe,FALSE,Poly Cotton Jacquard Stripe Fabric | Texongo,44,"Shop 309 GSM cotton polyester blend french terry fabric in black and white by Texongo. Soft and drapey for hoodies, sweatshirts, polos and apparel.",60%-COTTON-40%-POLY,309,147,FRENCH TERRY,9.11,BLACK-&-WHITE,,POLY-COTTON-JACQUARD-STRIPE,"cargo,-Sweatshirt-,-polo,-Jopggers,-Hoodie",62-inches-/-182-cm,1,,,,,,kg,,,active
polyester-cotton-jacquard-stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1VDy2xbuEEtPvnlmBHlgCz8W4G_eHHbBE,2,Polyester Cotton Jacquard Stripe,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-jacquard-stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1AcmtJV2apyuvIsfb_s1wtZVyMx_qYQgw,3,Polyester Cotton Jacquard Stripe,,,,,,,,,,,,,,,,,,,,,,,,
yarn-dyed-cotton-lurex-jacquard-stripe,Yarn Dyed Cotton Lurex Jacquard Stripe,"<p><span>A medium-lightweight (117 GSM) 95% cotton 5% lurex single jersey fabric by Texongo, featuring an engineered jacquard texture. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH5258,1000,shopify,17,continue,manual,1599,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1DsGmwNm-1kXMFoaMPKBssunhiH_nkoAV,1,Yarn Dyed Cotton Lurex Jacquard Stripe,FALSE,Yarn Dyed Cotton Lurex Jacquard Stripe | Texongo,48,"Shop 117 GSM cotton lurex blend single jersey fabric in black and white by Texongo. Soft and drapey for tops, dresses, co-ords and premium apparel.",95%-COTTON-5%-LUREX,117,147,SINGLE JERSEY,3.45,BLACK-&-WHITE,,YARN-DYED-COTTON-LUREX-JACQUARD-STRIPE,"Tops,-Dresses,-Scarves,-Jumpsuit-,-Co-ords-,-Scarves",70-inches-/-206-cm,1,,,,,,kg,,,active
yarn-dyed-cotton-lurex-jacquard-stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=123swI11M7oI5EYt0PD4MHWA2caS_oapH,2,Yarn Dyed Cotton Lurex Jacquard Stripe,,,,,,,,,,,,,,,,,,,,,,,,
yarn-dyed-cotton-lurex-jacquard-stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1IUGYSYOO3ZNAqIJRgcopEgUuH3B06iNe,3,Yarn Dyed Cotton Lurex Jacquard Stripe,,,,,,,,,,,,,,,,,,,,,,,,
cotton-single-jersey-stripe-17,Cotton Single Jersey Stripe,"<p><span>A medium-weight (295 GSM) 100% cotton single jersey fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH5259,1000,shopify,6,continue,manual,899,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1ThX-eFW9pXUDjfokk5jXwtqUYIekxWn9,1,Cotton Single Jersey Stripe,FALSE,Cotton Single Jersey Stripe Fabric | Texongo,44,"Shop 295 GSM 100% cotton single jersey fabric in black and white by Texongo. Soft and drapey for co-ords, sweatshirts, polos and premium apparel.",100%-COTTON,295,145,SINGLE JERSEY,8.7,BLACK-&-WHITE,,COTTON-S/J-STRIPE,"T-shirt-,-Sweatshirt-,-Jumpsuit-,-Co-ords-,-polo",82-inches-/-241-cm,1,,,,,,kg,,,active
cotton-single-jersey-stripe-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1uaK-HqfziCwUU0VJ7aX6TV5kiJJMFHa4,2,Cotton Single Jersey Stripe,,,,,,,,,,,,,,,,,,,,,,,,
cotton-single-jersey-stripe-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1vIPgkmk5rwM3e1t_hhqFb7YRKItFsCqh,3,Cotton Single Jersey Stripe,,,,,,,,,,,,,,,,,,,,,,,,
cotton-yarn-dyed-pique-stripe,Cotton Yarn Dyed Pique Stripe,"<p><span>A medium-weight (200 GSM) 100% cotton pique fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH5260,1000,shopify,11,continue,manual,1199,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1eoOdvsZQZKvRopwA1msMoK95bn6T2EI7,1,Cotton Yarn Dyed Pique Stripe,FALSE,Cotton Yarn Dyed Pique Stripe Fabric | Texongo,46,"Shop 200 GSM 100% cotton pique fabric in white and green by Texongo. Soft, breathable and drapey for co-ords, sweatshirts, polos and premium apparel.",100%-COTTON,200,149,PIQUE,5.9,WHITE-&-GREEN,,COTTON-YARN-DYED-PIQUE-STRIPE,"Polos,-T-shirt-,-Sweatshirt,co-ords",74-inches-/-218-cm,1,,,,,,kg,,,active
cotton-yarn-dyed-pique-stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1w-fh1kniNUmckqjYzRB6G-11oyWJTCn8,2,Cotton Yarn Dyed Pique Stripe,,,,,,,,,,,,,,,,,,,,,,,,
yarn-dyed-cotton-pique-stripe,Yarn Dyed Cotton Pique Stripe,"<p><span>A medium-weight (195 GSM) 100% cotton pique fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH5261,1000,shopify,20,continue,manual,1199,,TRUE,TRUE,,,,,,,,,FALSE,,,,100%-COTTON,195,,PIQUE,5.75,BLUE-&-WHITE,,YARN-DYED-COTTON-PIQUE-STRIPE,"Polos,-T-shirt-,-Sweatshirt,co-ords",78-inches-/-229-cm,1,,,,,,kg,,,active
yarn-dyed-cotton-stripe-interlock,Yarn Dyed Cotton Stripe Interlock,"<p><span>A medium-weight (190 GSM) 100% cotton interlock fabric by Texongo, crafted in a compact interlock knit for enhanced structure and durability. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH5262,1000,shopify,23,continue,manual,1099,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1u2fVwA_EJ2vEKllDQf9h-FaVqiY1YB0P,1,Yarn Dyed Cotton Stripe Interlock,FALSE,Yarn Dyed Cotton Stripe Interlock Fabric | Texongo,50,"Shop 190 GSM 100% cotton interlock fabric in multicolor by Texongo. Soft, breathable and drapey for dresses, co-ords, jumpsuits and premium apparel.",100%-COTTON,190,148,INTERLOCK,5.6,MULTICOLOR,,YARN-DYED-COTTON-STRIPE-INTERLOCK,"Skirts-,-Dresses,-Co--ords-,-Jumpsuit",66-inches-/-194-cm,1,,,,,,kg,,,active
yarn-dyed-cotton-stripe-interlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1IWBLWk9UZ4Yx0jyQFUbX1v8W5GllnEWH,2,Yarn Dyed Cotton Stripe Interlock,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-waffle-stripe,Polyester Cotton Waffle Stripe,"<p><span>A medium-weight (215 GSM) 60% cotton 40% polyester waffle fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH5263,1000,shopify,25,continue,manual,1199,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1anOEn8HVCzWh7SOFJbniYWh_qOZUW8Am,1,Polyester Cotton Waffle Stripe,FALSE,Polyester Cotton Waffle Stripe Fabric | Texongo,47,"Shop 215 GSM cotton polyester blend waffle fabric in red and white by Texongo. Soft and drapey for tops, dresses, co-ords and premium apparel.",60%-COTTON-40%-POLY,215,142,WAFFLE,6.34,RED-&-WHITE,,POLY-COTTON-WAFFLE-STRIPE,"Tops,-Co-ords-,-T-shirt-,-Dresses",70-inches-/-206-cm,1,,,,,,kg,,,active
polyester-cotton-waffle-stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1ChV8eceWfOTALJFhL0mOKXLBjUQfkTcX,2,Polyester Cotton Waffle Stripe,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-waffle-stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1G7wN_vONa4DSUdo1ZHaem7VmYJIyMJKV,3,Polyester Cotton Waffle Stripe,,,,,,,,,,,,,,,,,,,,,,,,
yarn-dyed-cotton-stripe-single-jersey,Yarn Dyed Cotton Stripe Single Jersey,"<p><span>A medium-weight (286 GSM) 100% cotton single jersey fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH5264,1000,shopify,15,continue,manual,1099,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1Mz9wdSgUU1cIPQLcRewupK4_2gsXHlC8,1,Yarn Dyed Cotton Stripe Single Jersey,FALSE,Yarn Dyed Cotton Stripe Jersey Fabric | Texongo,47,"Shop 286 GSM 100% cotton single jersey fabric in navy and white by Texongo. Soft and drapey for co-ords, sweatshirts, jumpsuits and premium apparel.",100%-COTTON,286,148,SINGLE JERSEY,8.44,NAVY-&-WHITE,,YARN-DYED-COTTON-STRIPE-S/J,"T-shirt-,-Sweatshirt-,-Jumpsuit-,-Co-ords",68-inches-/-200-cm,1,,,,,,kg,,,active
yarn-dyed-cotton-stripe-single-jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1hVaqBmEeukj5ItTRY7A-iwq6VeVH5CTA,2,Yarn Dyed Cotton Stripe Single Jersey,,,,,,,,,,,,,,,,,,,,,,,,
poly-cotton-jacquard-terry-stripe-sch5265,Poly Cotton Jacquard Terry Stripe,"<p><span>A medium-weight (250 GSM) 60% cotton 40% poly french terry fabric by Texongo, offering comfort, durability, and a refined finish. Suitable for versatile apparel applications with a soft hand feel and excellent wearability.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,FALSE,Title,Default Title,,,,,,,,SCH5265,1000,shopify,0,continue,manual,999,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=16lLBZd8EHwf2YKMqmOgibbu8Zg_bbNWk,1,Poly Cotton Jacquard Terry Stripe,FALSE,,,,60%-COTTON-40%-POLY,250,,FRENCH TERRY,7.37,BLACK-&-GREY,,POLY-COTTON-JACQUARD-TERRY-STRIPE,"Sweatshirts,-Joggers,-Shorts,-Hoodies,-Co-ords,-Loungewear",66-inches-/-194-cm,1,,,,,,kg,,,draft
poly-cotton-jacquard-terry-stripe-sch5265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1wzrGznyZmNEY1kbv1ccqz77MFjt7hYIZ,2,Poly Cotton Jacquard Terry Stripe,,,,,,,,,,,,,,,,,,,,,,,,
poly-cotton-jacquard-terry-stripe-sch5265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=13Yx5H_XF5wVJxTbEWGPuaNXd_bnWIyZs,3,Poly Cotton Jacquard Terry Stripe,,,,,,,,,,,,,,,,,,,,,,,,
cotton-single-jersey-stripe-16,Cotton Single Jersey Stripe,"<p><span>A medium-weight (290 GSM) 100% cotton single jersey fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH5266,1000,shopify,17,continue,manual,899,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1-D3_KzXVUiGFJcc-671e7HCpvsPoAXm2,1,Cotton Single Jersey Stripe,FALSE,Cotton Single Jersey Stripe Fabric | Texongo,44,"Shop 290 GSM 100% cotton single jersey fabric in black and white by Texongo. Soft and drapey for co-ords, sweatshirts, jumpsuits and premium apparel.",100%-COTTON,290,149,SINGLE JERSEY,8.55,BLACK-&-WHITE,,COTTON-S/J-STRIPE,"T-shirt-,-Sweatshirt-,-Jumpsuit-,-Co-ords",21-inches-/-62-cm,1,,,,,,kg,,,active
cotton-single-jersey-stripe-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1BvX2lCPE1hUDMEVM5Tnn9MWJQk_5vrYn,2,Cotton Single Jersey Stripe,,,,,,,,,,,,,,,,,,,,,,,,
cotton-single-jersey-stripe-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1cbODQF53SRIcfza28vtQ-Y7tRuOcvG1_,3,Cotton Single Jersey Stripe,,,,,,,,,,,,,,,,,,,,,,,,
cotton-single-jersey-stripe-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1arAmzn8aXAZRBTJ_6YvkEr5B_1l5hkp5,4,Cotton Single Jersey Stripe,,,,,,,,,,,,,,,,,,,,,,,,
cotton-single-jersey-stripe-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=14S_5Xa6tENkZzsrzbcnJm-xQ_3TKmkDf,5,Cotton Single Jersey Stripe,,,,,,,,,,,,,,,,,,,,,,,,
cotton-jaquard-slub-single-jersey-stripe,Cotton Jaquard Slub Single Jersey Stripe,"<p><span>A medium-weight (213 GSM) 100% cotton single jersey fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH5267,1000,shopify,14,continue,manual,1249,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1FRzSX3_JzK-v5G80Thf73G3oKGg1t0y-,1,Cotton Jaquard Slub Single Jersey Stripe,FALSE,Cotton Jaquard Slub Jersey Stripe Fabric | Texongo,50,"Shop 213 GSM 100% cotton single jersey fabric in black and white by Texongo. Soft and drapey for tops, dresses, co-ords and premium apparel.",100%-COTTON,213,140,SINGLE JERSEY,6.28,BLACK-&-WHITE,,COTTON-JAQUARD-SLUB-S/J-STRIPE,"Tops,-Co-ords-,-T-shirt-,-Dresses",72-inches-/-212-cm,1,,,,,,kg,,,active
cotton-jaquard-slub-single-jersey-stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1CZN8IEPLCVlyXe9qWpfsElWW9QAhcHsa,2,Cotton Jaquard Slub Single Jersey Stripe,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-lurex-stripe-single-jersey-2,Polyester Cotton Lurex Stripe Single Jersey,"<p><span>A medium-weight (185 GSM) 50% cotton 40% polyester 10% lurex single jersey fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH5268,1000,shopify,8,continue,manual,1599,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=14AUTL49IGcB-03djDac-k8MAwieZuGnm,1,Polyester Cotton Lurex Stripe Single Jersey,FALSE,Poly Cotton Lurex Stripe Jersey Fabric | Texongo,48,"Shop 185 GSM cotton polyester lurex blend single jersey fabric in navy and lurex by Texongo. Soft and drapey for tops, dresses, co-ords and apparel.",50%-COTTON-40%-POLY-10%-LUREX,185,148,SINGLE JERSEY,5.46,NAVY-&-LUREX,,POLY-COTTON-LUREX-STRIPE-S/J,"Tops,-Dresses,-Scarves,-Jupsuit-,-Co-ords",76-inches-/-223-cm,1,,,,,,kg,,,active
polyester-cotton-lurex-stripe-single-jersey-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1hOGCw57KUeBxQ7YfYBVIt4fXip-n6lV5,2,Polyester Cotton Lurex Stripe Single Jersey,,,,,,,,,,,,,,,,,,,,,,,,
yarn-dyed-polyester-cotton-wool-single-jersey,Yarn Dyed Polyester Cotton Wool Single Jersey,"<p><span>A medium-weight (225 GSM) 40% polyester 35% bamboo 5% wool 5% spandex single jersey fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,OPEN,,TRUE,Title,Default Title,,,,,,,,SCH5269,1000,shopify,12,continue,manual,1599,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1ugQJgkwNyxdTTQM-GfcWFOZ86hvnK0sa,1,Yarn Dyed Polyester Cotton Wool Single Jersey,FALSE,Yarn Dyed Poly Cotton Wool Jersey Fabric | Texongo,50,"Shop 225 GSM cotton poly spandex blend jersey fabric in green pink andyellow by Texongo. Soft and drapey for tops, dresses, co-ords and apparel.",40%-POLY-35%-BAMBOO-5%-WOOL-5%-LYCRA,225,144,SINGLE JERSEY,6.64,GREEN-PINK-&YELLOW,Bamboo,YARN-DYED-POLY-COTTON-WOOL-S/J,"Tops,-Dresses,-Scarves,-Jupsuit-,-Co-ords",62-inches-/-182-cm,1,,,,,,kg,,,active
yarn-dyed-polyester-cotton-wool-single-jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1K32vxFSbzg_4XRMKDgfKIUr1tvfuVB6c,2,Yarn Dyed Polyester Cotton Wool Single Jersey,,,,,,,,,,,,,,,,,,,,,,,,
