,,,,,,,,,,,,,,
,S. No.,Image,Fabric Style No,Fabric type,Fibre Content,Colour,Surface Design,Fabric GSM,Dia (Inches),Quantity (Kg),SKU,NEW SKU,Design Developed,Design No
,70,,FAB 70,French Terry,Cotton,Pink,Solid,250,35,80,A10K1T112,SCH6071,,
,71,,FAB 71,Ecru Melange Multicolour Neps Terry,Polyester Cotton,Ecru,Neps,240,34,80,U1K1T237,SCH6058,,
,72,,FAB 72,Fleece,Cotton,Camouflage,Print,280,64,60,A10K4F115,SCH6059,,
,73,,FAB 73,Pique,Cotton,Orange,Solid,220,35,40,Z15K1P104,SCH5100,,
,74,,FAB 74,Terry,Cotton,Grey & white,Stripe,250,52,40,U1K4T254,SCH6060,,
,75,,FAB 75,Terry,Cotton,Blue & white,Stripe,250,52,40,U1K4T249,SCH6061,,
,76,,FAB 76,Single Jersey Lurex,Cotton,Grey & white ,Stripe,150,30,40,U1K1S255,SCH6062,,
,77,,FAB 77,Single Jersey,Viscose,Ecru ,Solid,140,32,50,M57,,,
,78,,FAB 78,Single Jersey Ecru Melange,Polyester Cotton,Ecru ,Melange,110,30,70,M3K4S112,SCH6063,,
,79,,FAB 79,Single Jersey,Polyester Cotton,Grey ,Neps,140,28,60,U1K4S274,SCH6064,,
,80,,FAB 80,French Terry Injected Slub,Polyester Cotton,Navy ,Injected Slub,260,66,40,,SCH5811,,
,81,,FAB 81,Waffle Jacquard,Polyester Cotton,Multicolor,Waffle,220,62,350,B135,SCH6072,,
,82,,FAB 82,French Terry,Polyester Cotton Spandex,Camouflage,Print,300,66,60,A10K6T118,SCH6073,,
,83,,FAB 83,Sweater Knit Terry,Cotton,Black & white,Sweater Knit,300,60,60,E2K1S130,SCH6074,,
,84,,FAB 84,Fleece,Polyester Cotton,Green,Solid,290,66,40,Z17K4F139,SCH6075,,
,85,,FAB 85,Single Jersey,Cotton,Fushia ,Solid,150,32,60,A1K1S109,SCH6044,,
,86,,FAB 86,Single Jersey Injected Slub,Cotton,Black & grey,Injected Slub,170,30,40,,SCH5121,,
,87,,FAB 87,French Terry,Cotton,Multicolor,Print,260,70,40,G3K1T126,SCH6045,,
,88,,FAB 88,Single Jersey Yarn Dyed,Cotton,Multicolor,Yarn Dyed Stripe,175,32,40,B5K1S107,SCH6076,,
,89,,FAB 89,Mercerised Interlock Yarn Dyed,Polyester Cotton,Fushia ,Yarn Dyed Stripe,170,62,40,G3K4I116,SCH6077,,
,90,,FAB 90,Single Jersey,Viscose Bamboo Lycra,Black & white,Stripe,270,60,100,A132,SCH6078,,
,91,,FAB 91,Single Jersey Neps,Polyester Cotton,Oatmeal ,Neps,140,28,40,U1K1S273,SCH6079,,
